step,E_NQS
0.000000000000000000e+00,5.616220095066381646e+02
3.000000000000000000e+00,5.616117218791421237e+02
6.000000000000000000e+00,5.616022898058271267e+02
9.000000000000000000e+00,5.616020872739923107e+02
1.200000000000000000e+01,5.615890402109317847e+02
1.500000000000000000e+01,5.615868043550107132e+02
1.800000000000000000e+01,5.615804851175694239e+02
2.100000000000000000e+01,5.615762822418049609e+02
2.400000000000000000e+01,5.615721777596802440e+02
2.700000000000000000e+01,5.615682337272442055e+02
3.000000000000000000e+01,5.615647322054563801e+02
3.300000000000000000e+01,5.615614080219693278e+02
3.600000000000000000e+01,5.615583139412664195e+02
3.900000000000000000e+01,5.615554052463168091e+02
4.200000000000000000e+01,5.615526400982865880e+02
4.500000000000000000e+01,5.615500022825541464e+02
4.800000000000000000e+01,5.615474789434124432e+02
5.100000000000000000e+01,5.615450542808039245e+02
5.400000000000000000e+01,5.615427167060240663e+02
5.700000000000000000e+01,5.615404548565331879e+02
6.000000000000000000e+01,5.615382601176484059e+02
6.300000000000000000e+01,5.615361247844627997e+02
6.600000000000000000e+01,5.615340427460520232e+02
6.900000000000000000e+01,5.615320090045639745e+02
7.200000000000000000e+01,5.615300191861826988e+02
7.500000000000000000e+01,5.615280699963457209e+02
7.800000000000000000e+01,5.615261589149170049e+02
8.100000000000000000e+01,5.615242837999644507e+02
8.400000000000000000e+01,5.615224428265985352e+02
8.700000000000000000e+01,5.615206344929647457e+02
9.000000000000000000e+01,5.615188575103932180e+02
9.300000000000000000e+01,5.615171107611039361e+02
9.600000000000000000e+01,5.615153932523620597e+02
9.900000000000000000e+01,5.615137040664816368e+02
1.020000000000000000e+02,5.615120423404558778e+02
1.050000000000000000e+02,5.615104072614038841e+02
1.080000000000000000e+02,5.615087980704307711e+02
1.110000000000000000e+02,5.615072140518473134e+02
1.140000000000000000e+02,5.615056545181170122e+02
1.170000000000000000e+02,5.615041188077423158e+02
1.200000000000000000e+02,5.615026062878771427e+02
1.230000000000000000e+02,5.615011163506017056e+02
1.260000000000000000e+02,5.614996484099151530e+02
1.290000000000000000e+02,5.614982019028923332e+02
1.320000000000000000e+02,5.614967762883763953e+02
1.350000000000000000e+02,5.614953710508181075e+02
1.380000000000000000e+02,5.614939856883399898e+02
1.410000000000000000e+02,5.614926197232708773e+02
1.440000000000000000e+02,5.614912726939867298e+02
1.470000000000000000e+02,5.614899441616929607e+02
1.500000000000000000e+02,5.614886337008886130e+02
1.530000000000000000e+02,5.614873409064538237e+02
1.560000000000000000e+02,5.614860653866415987e+02
1.590000000000000000e+02,5.614848067719914297e+02
1.620000000000000000e+02,5.614835646987498876e+02
1.650000000000000000e+02,5.614823388260625734e+02
1.680000000000000000e+02,5.614811288254662713e+02
1.710000000000000000e+02,5.614799343755934160e+02
1.740000000000000000e+02,5.614787551756922994e+02
1.770000000000000000e+02,5.614775909374980074e+02
1.800000000000000000e+02,5.614764413736046436e+02
1.830000000000000000e+02,5.614753062216035460e+02
1.860000000000000000e+02,5.614741852201053689e+02
1.890000000000000000e+02,5.614730781281766667e+02
1.920000000000000000e+02,5.614719846932937344e+02
1.950000000000000000e+02,5.614709047006059564e+02
1.980000000000000000e+02,5.614698379190567721e+02
2.010000000000000000e+02,5.614687841346825508e+02
2.040000000000000000e+02,5.614677431516072375e+02
2.070000000000000000e+02,5.614667147620248215e+02
2.100000000000000000e+02,5.614656987782640272e+02
2.130000000000000000e+02,5.614646950192229724e+02
2.160000000000000000e+02,5.614637032979487685e+02
2.190000000000000000e+02,5.614627234492528487e+02
2.220000000000000000e+02,5.614617553011145219e+02
2.250000000000000000e+02,5.614607986920053690e+02
2.280000000000000000e+02,5.614598534686748508e+02
2.310000000000000000e+02,5.614589194709343474e+02
2.340000000000000000e+02,5.614579965606880023e+02
2.370000000000000000e+02,5.614570845891403224e+02
2.400000000000000000e+02,5.614561834087178340e+02
2.430000000000000000e+02,5.614552928927035964e+02
2.460000000000000000e+02,5.614544129029522992e+02
2.490000000000000000e+02,5.614535433088673244e+02
2.520000000000000000e+02,5.614526839914562970e+02
2.550000000000000000e+02,5.614518348182115233e+02
2.580000000000000000e+02,5.614509956722691868e+02
2.610000000000000000e+02,5.614501664351436148e+02
2.640000000000000000e+02,5.614493469915311152e+02
2.670000000000000000e+02,5.614485372327447976e+02
2.700000000000000000e+02,5.614477370382378467e+02
2.730000000000000000e+02,5.614469463072825874e+02
2.760000000000000000e+02,5.614461649313511771e+02
2.790000000000000000e+02,5.614453928065083801e+02
2.820000000000000000e+02,5.614446298278377299e+02
2.850000000000000000e+02,5.614438758890796635e+02
2.880000000000000000e+02,5.614431309032763693e+02
2.910000000000000000e+02,5.614423947629865097e+02
2.940000000000000000e+02,5.614416673747452933e+02
2.970000000000000000e+02,5.614409486461293000e+02
3.000000000000000000e+02,5.614402384742724053e+02
3.030000000000000000e+02,5.614395367683563336e+02
3.060000000000000000e+02,5.614388434550720604e+02
3.090000000000000000e+02,5.614381584262605429e+02
3.120000000000000000e+02,5.614374815988704768e+02
3.150000000000000000e+02,5.614368128865955896e+02
3.180000000000000000e+02,5.614361522089487835e+02
